product_brand,jumlah_tidak_terjual
Allegra K,4282
Calvin Klein,2229
Carhartt,1774
Hanes,1399
Volcom,1385
Quiksilver,1322
Nautica,1282
Tommy Hilfiger,1277
Levi's,1157
Columbia,1068
Diesel,1061
Hurley,1011
Dockers,970
Wrangler,899
Speedo,854
7 For All Mankind,832
Dickies,813
Lucky Brand,776
Motherhood Maternity,757
American Apparel,756
Champion,749
DC,737
O'Neill,699
SmartWool,697
FineBrandShop,662
True Religion,662
HUGO BOSS,639
Jones New York,635
Fruit of the Loom,618
Haggar,609
Calvin Klein Jeans,594
Ray-Ban,590
Roxy,588
Oakley,573
adidas,571
Fox,563
Orvis,554
Kenneth Cole,536
Ralph Lauren,526
Lee,525
Port Authority,496
Joe's Jeans,490
Jockey,483
Anna-Kaci,455
Perry Ellis,454
Anne Klein,436
IZOD,434
Patty,425
Hot Topic,416
Tommy Bahama,397
HUE,393
Ed Hardy,386
Thorlo,383
Woolrich,382
Bali,378
Harley-Davidson,371
Duofold,368
Billabong,366
Nike,362
G-Star,359
Pendleton,355
Gold Toe,338
Not Your Daughter's Jeans,336
Vanity Fair,335
Original Penguin,328
Ed Garments,326
RVCA,320
eVogues Apparel,313
Paul Fredrick,312
Polo Ralph Lauren,307
Sutton Studio,307
U.S. Polo Assn.,306
A:X Armani Exchange,304
Geoffrey Beene,300
Majestic International,299
Hot from Hollywood,295
Wigwam,290
Mountain Hardwear,288
Eddie Bauer,288
Woman Within,286
SK Hat shop,282
Icebreaker,280
Maidenform,279
Laura,270
Bella,266
French Connection,265
LRG,262
Hanro,258
Tri-Mountain,257
Metal Mulisha,253
Southpole,253
Kenneth Cole REACTION,252
Michael Kors,245
PUMA,244
Life Is Good,238
2(x)ist,238
Silver Jeans,235
Alki'i,232
ExOfficio,231
Wacoal,231
Gary Majdell Sport,229
Devon & Jones,226
2b by bebe,226
K. Bell,226
Joseph Abboud,225
Sock It To Me,225
Samanthas Style Shoppe,223
AG Adriano Goldschmied,223
Van Heusen,222
boxed-gifts,221
Luxury Divas,221
MANGO,217
Savane,216
King Formal Wear,215
Flexees,215
Under Armour,215
Ilusion,214
TrendsBlue,212
Burnside,210
NEFF,210
G by GUESS,209
Betsey Johnson,209
A Pea in the Pod,209
Alternative,208
Alfred Dunner,208
Bottoms Out,207
BCBGMAXAZRIA,206
C-IN2,204
Alexander Del Rossa,203
Russell Athletic,203
The Little Alpaca's House,200
Fred Perry,198
Harbor Bay,198
SEX NIGHT,197
Hudson,194
Three Seasons Maternity,191
LabelShopper,187
Underworks,184
London Fog,182
Rip Curl,182
LOTUSTRADERS,181
Karen Kane,179
Arc'teryx,178
Intimo,177
The North Face,176
Carol Wright Gifts,173
UNIONBAY,172
Barely There,172
DREAMS,172
Frederick's of Hollywood,171
KUT from the Kloth,170
PAIGE,168
American Essentials,166
Only Hearts,165
Angelina,164
Alpinestars,163
Activewear Apparel,160
Nine West,158
Rusty,158
Rock Revival,157
Ibex,157
Guide Gear,156
Isotoner,156
ASICS,155
Evan Picone,154
Bslingerie,152
Ecoscapes,152
GUESS,150
Hello Kitty,149
Kanu Surf,149
LeggingsQueen,148
Playtex,147
Natori,145
Emporio Armani,144
Robert Graham,141
Fashion Forms,141
Marc Ecko Cut & Sew,141
TheTieBar,141
Hot Chillys,141
BCBGeneration,140
UltraClub,138
TYR,138
Hatley,137
Ice,137
Wolverine,135
Seafolly,135
Kasper,135
Harriton,135
Cosabella,134
Capezio,134
Matix,133
District Threads,133
Vince Camuto,132
Bullhead,132
Briefly Stated,131
Spa & Resort,130
KingSize,130
Alpha Industries,128
Giorgio Cerruti,128
Wool Overs,128
KNOTHE CORP.,128
Ben Sherman,128
The Pajamagram Company,127
Miraclesuit,127
Retrofit,126
Papi,125
prAna,124
Outdoor Research,124
AxParis,124
ECHO,123
Pearl iZUMi,123
Sanctuary,122
Juicy Couture,122
Royal Robbins,122
Cubavera,120
Charles River Apparel,120
Louis Raphael,120
Foot Traffic,120
Buffalo by David Bitton,120
Gildan,119
Felina,119
Darn Tough,119
Comfort Choice,118
Yelete,118
Casual Moments,118
Ripe Maternity,117
Braza,117
VIP BOUTIQUE,116
DKNY,115
Paul Frank,114
Wrightsock,113
J.C. Rags,113
TapouT,112
Coolibar,111
Helly Hansen,111
bebe,111
Tasso Elba,110
Gregg Homme,109
Key Industries,109
Marc New York by Andrew Marc,108
Timberland,108
Mod-O-Doc,107
Under Moments,107
Aeropostale,107
Scotch & Soda,106
Touch of Europe Flannel Pants,106
VIVILLI,106
US Fairytailes,105
Bjorn Borg,105
Glamorise,104
Carole Hochman,104
Shadowline,104
Torrid,104
Jessica Simpson,104
Next Level,103
Ted Baker,103
Trina Turk,102
Corset Story,102
180s,102
Mavi,101
Up2date Fashion,101
Body Glove,100
Le Suit,100
Stella Elyse,100
Fun Boxers,99
Marina West,99
Cloris Murphy,98
Canyon Ridge,98
Sofie,98
Nvie Designs,97
Y&G,97
Minus33 Merino Wool,97
Cashmere Boutique,96
Democracy,96
Soho Girls,96
Belly Bandit,96
MJ Soffe,96
Joie,94
N2N,94
Anita,94
Danskin,94
WESC,93
Splendid,93
Football Fanatics,93
Assets,92
INDERA THERMALS,92
Curve Appeal,92
ililily,91
Sons Of Anarchy,91
Moving Comfort,91
Le Mystere,91
Rufskin,90
DG Eyewear,90
Kensie,90
Affliction,90
Hanky Panky,90
Jezebel,90
Capelli New York,89
eloquii,88
Ulla Popken,88
Warner's,87
Jet Lag,87
dollhouse,87
Altamont,87
Coquette,87
Oak Hill,87
Pull-in,86
BridalPetticoat,86
Three Dots,86
Mommy Paradise,86
Stance,85
HoodieBuddie,85
Carrera,84
New Balance,84
Tahari,84
Full Tilt,84
Parke & Ronen,83
Ecko Unltd.,83
Reef,83
Disney,83
Reebok,83
FEA,82
Walls,82
Seven7,82
Barbour,81
b.tempt'd by Wacoal,81
Jerzees,81
Cianni,81
Rampage,80
MAXSTUDIO,80
Wallflower,80
KAMALIKULTURE,80
SockGuy,80
Spanx,80
MG,79
Becca by Rebecca Virtue,79
7 Diamonds,79
Berkshire,79
Marcoliani Milano,79
Lacoste,79
ZOO YORK,78
Lindy Bop,78
Famous Stars and Straps,78
Caterpillar,78
Canada Goose,77
MICHAEL Michael Kors,77
Funfash,77
Filson,76
Hard Tail,76
National,76
Brixton,76
Tokidoki,75
DL1961,75
Kangol,75
Stacy Adams,75
ARROW,75
Momo Maternity,74
Tru-Spec,74
DFDesigns,74
maxandcleo,74
YogaColors,73
HOBO,73
BB Dakota,73
Vans,71
Xfy,71
TopTie,71
Chaus,71
Jessica Howard,70
Element,70
Ariat,70
Neon Buddha,70
Banana Republic,69
Jax,69
Christopher Fischer,69
Oscar de la Renta,68
Ozone,68
Cinch,68
High Style,68
XOXO,67
Kate Spade,67
Miss Me,67
Antique Rivet,67
Kuhl,67
Diamond Chain,67
Beach Joy,66
Victorinox,66
Maternal America,66
Snoozies,66
London Times,66
Via Spiga,66
Sag Harbor,66
Reyn Spooner,65
Skedouche,65
Adrianna Papell,65
UjENA,64
Lilly Pulitzer,64
PACT,64
Only Necessities,64
Paul Malone,64
Panache,64
Mundo Unico,64
WARMEN,64
Cuddl Duds,64
Daniel Buchler,63
2XU,63
Alex Stevens,63
Sheridyn Swim,62
BIG STAR,62
D.E.P.T.,62
L*Space,62
Roma Costume,62
Rago,62
Marmot,62
point6,62
Spree,61
Kiyonna,61
Bigmansland,61
Fashion Victim,60
Body Wrap,60
United Face,60
Popsi Lingerie,60
Melissa Odabash,60
Suit Studio,60
The Cat's Pajamas,60
Knothe,60
Club Room,60
Clever,60
Arianne,59
